Traces,Without_Prefetch,With_Prefetch
602.gcc_s-1850B.champsimtrace,17.8031985757441,18.4278385257729
603.bwaves_s-1740B.champsimtrace,19.0094,19.58992
sssp-3.trace,38.56168,46.32412
bc-0.trace,74.1712770331489,104.905435803783
619.lbm_s-2677B.champsimtrace,48.37948,48.78928
Mean,39.5850071217786,47.6073188659112
