Traces,Without_Prefetch,With_Prefetch
602.gcc_s-1850B.champsimtrace,17.8031985757441,19.1361184691105
603.bwaves_s-1740B.champsimtrace,19.0094,19.95884
sssp-3.trace,38.56168,48.45708
bc-0.trace,74.1712770331489,108.208235671671
619.lbm_s-2677B.champsimtrace,48.37948,49.1548741014151
Mean,39.5850071217786,48.9830296484393
