Prefetch_Degree,602.gcc_s-1850B.champsimtrace.xz,603.bwaves_s-1740B.champsimtrace.xz,sssp-3.trace.gz,bc-0.trace.gz,619.lbm_s-2677B.champsimtrace.xz
2,0.979867319371434,0.993325810457553,0.957528890674295,0.973119142848802,0.994080190791303
3,0.968387858694196,0.990989560592228,0.94364543688379,0.963287887192363,0.99283118645985
4,0.962149563288161,0.988939671450686,0.932695204684843,0.955536741307331,0.992510687235176
5,0.955203928692731,0.986994686732709,0.92112854575237,0.947318483052579,0.993038568311111
6,0.950953661493015,0.985129089146078,0.914247422609009,0.941479578431086,0.992369290518407
7,0.942054275039651,0.983464794642503,0.904336111871063,0.935297638163081,0.992157195443255
8,0.938078218627014,0.981834523195219,0.897995227887422,0.929976936326745,0.992548393026314
9,0.936392445492816,0.980459424670118,0.892866418941616,0.925809418153154,0.993165825356202
10,0.936975143415358,0.979308311265601,0.888343647514727,0.922145505503168,0.992194901234393
